"sort_id","cat","name","emoji","unit_kind","g_per_1ke","portion_name","portion_count","portion_amount","portion_ke","portion_carbs_g","info",
3608,"Fertigprodukte","Paella ca.","🍽️","g","60,0","","","","",0,"1 Portion:  300 g = 5 KE ",
3619,"Fertigprodukte","Pizza Lieferservice/Pizzeria/Tiefkühl verschiedene Sorten/Durchschnittswert","🍕","g","40,0","","","","",0,"1 Portion:  400 g = ca. 10 KE ",
3630,"Fertigprodukte","Quiche Lorraine 1 Stück ca.","🍽️","g","62,5","",1,150,"2,4",24,"1 Portion:  150 g = 2,4 KE ",
3641,"Fertigprodukte","Schnitzel paniert 1 Stück ca.","🍽️","g","100,0","",1,150,"1,5",15,"1 Portion:  150 g = 1,5 KE ",
3652,"Fertigprodukte","Spaghetti mit Soße ca. z. B. Bolognese, Carbonara, Tomaten","🍅","g","50,0","","","","",0,"1 Portion:  350 g = ca. 7 KE ",
3663,"Fertigprodukte","Sushi, 1 kleiner Sushi (17 g)/1 großer Sushi (32 g)","🍅","g","17,0","Stück",1,17,"0,4",4,"1 kleiner Sushi (17 g)/1 großer Sushi (32 g)",
3674,"Fertigprodukte","Tortellini ca.","🍽️","g","35,7","","","","",0,"1 Portion:  250 g = ca. 7 KE ",
3685,"Fertigprodukte","Zwiebelkuchen 1 Stück ca. 150 g","🍽️","g","50,0","",1,150,3,30,"1 Portion:  150 g = 3 KE ",
3696,"Verschiedenes","Kaba, Nesquick","🍽️","g","13,0","Esslöffel",1,"","",0,"1 KE = 13 g; Portion: ca. 1 gehäufter Esslöffel (~1 g) = 1 KE",
3707,"Verschiedenes","Kakaopulver ohne Zuckerzusatz","🍽️","g","100,0","","","","",0,"1 KE = 100 g; Portion: ohne Berechnung = 1 KE",
3718,"Verschiedenes","Ketchup","🍽️","g","37,0","Esslöffel",3,"","",0,"1 KE = 37 g; Portion: ca. 3 Esslöffel = 1 KE",
3739,"Verschiedenes","Ketchup Diät ca. 5 g Kohlenhydrate/ 100 g","🍽️","g","200,0","","","","",0,"1 KE = 200 g; Portion: ohne Berechnung = 1 KE",
3750,"Verschiedenes","Marmelade verschiedene Sorten ca. 70 g Kohlenhydrate/ 100g","🍽️","g","15,0","Teelöffel",2,40,"2,67","26,67","1 KE = 15 g; Portion: 20 g = 1.3 KE",
3761,"Verschiedenes","Dietmarmelade (mit Süßstoff oder Zuckeraustauschstoff)","🍽️","g","40,0","Teelöffel",4,"","",0,"1 KE = 40 g",
3772,"Verschiedenes","Nuss Nougat Creme","🥜","g","17,0","Teelöffel",2,"","",0,"1 KE = 17 g; Portion: ca. 2 Teelöffel = 1 KE",
3783,"Verschiedenes","Nuss Nougat Creme mit Stevia oder Erythrit 40 g pro Tag o.B.","🥜","g","0,0","","","","","","40 g; Portion: pro Tag ohne Berechnung",
3794,"Verschiedenes","Puddingpulver","🍽️","g","11,0","Esslöffel",1,"","",0,"1 KE = 11 g; Portion: 1 Esslöffel = 1 KE",
3805,"Verschiedenes","Sojasauce","🍽️","ml","200,0","","","","",0,"1 KE = 200 ml",
3816,"Verschiedenes","Soße mit Mehl bzw. Stärke gebunden","🍽️","g","5,0","Portion",1,"","",0,0,
3827,"Verschiedenes","Soße dünn z. B. Bratenfond o.B.","🍽️","g","0,0","","","","","",0,
3838,"Getränke","Apfelsaftschorle (1:1)","🥤","ml","200,0","","","","",0,"1 KE = 200 ml",
3849,"Getränke","Alkoholfreies Bier","🥤","ml","200,0","","","","",0,"1 KE = 200 ml",
3860,"Getränke","Eistee","🥤","ml","110,0","","","","",0,"1 KE = 110 ml",
3871,"Getränke","Fruchtsaft ohne Zuckerzusatz z. B. Apfelsaft, Orangensaft","🥤","ml","100,0","","","","",0,"1 KE = 100 ml",
3882,"Getränke","Fruchtsirup","🥤","ml","15,0","","","","",0,"1 KE = 15 ml",
3893,"Getränke","Karottensaft","🥤","ml","140,0","","","","",0,"1 KE = 140 ml",
3898,"Getränke","Limonade mit Zucker","🥤","ml","100,0","","","","",0,"1 KE = 100 ml",
3904,"Getränke","Malzbier","🥤","ml","100,0","","","","",0,"1 KE = 100 ml",
3909,"Getränke","Tomatensaft","🥤","ml","340,0","","","","",0,"1 KE = 340 ml",
3915,"Getränke","Traubensaft 100 % ","🥤","ml","60,0","","","","",0,"1 KE = 60 ml",
3920,"McDonald`s KE-Tabelle","McFlurry ohne Topping 1 Portion à 167 g","🍽️","g","43,9","Portion",1,167,"3,8",38,"Portion: 167 g = 3,8 KE",
3926,"McDonald`s KE-Tabelle","McFlurry Topping Karamellsauce 1 Portion à 40 g","🍽️","g","14,8","Portion",1,40,"2,7",27,"Portion: 40 g = 2,7 KE",
3931,"McDonald`s KE-Tabelle","McFlurry Topping Schokosauce 1 Portion à 40 g","🍽️","g","22,2","Portion",1,40,"1,8",18,"Portion: 40 g = 1,8 KE",
3937,"McDonald`s KE-Tabelle","McFlurry Topping Smarties 1 Portion à 40 g","🍽️","g","16,0","Portion",1,40,"2,5",25,"Portion: 40 g = 2,5 KE",
3942,"McDonald`s KE-Tabelle","McFlurry Kitkat 1 Portion à 40 g","🍔","g","21,1","Portion",1,40,"1,9",19,"Portion: 40 g = 1,9 KE",
3948,"McDonald`s KE-Tabelle","King Shake verschiedene Geschmacksrichtungen klein","🍽️","ml","44,6","",1,156,"3,5",35,"Portion: 156 ml =  3,5 KE",
3953,"Glutenfreie Ernährung (Schär)","Brot Mix dunkel","🍞","g","16,0","","","","",0,"1 KE = 16 g",
3959,"Glutenfreie Ernährung (Schär)","Brot Mix Mix B","🍞","g","12,0","","","","",0,"1 KE = 12 g",
3964,"Glutenfreie Ernährung (Schär)","Kuchen und Kekse Mehl Mehl-Mix C","🍰","g","12,0","","","","",0,"1 KE = 12 g",
3970,"Glutenfreie Ernährung (Schär)","Mix it Universal Kuchenbackmischung","🍽️","g","12,0","","","","",0,"1 KE = 12 g",
3975,"Glutenfreie Ernährung (Schär)","Mehl","🍽️","g","12,0","","","","",0,"1 KE = 12 g",
3981,"Glutenfreie Ernährung (Schär)","Pangrati Paniermehl Brot/Brötchen","🍞","g","16,0","","","","",0,"1 KE = 16 g",
3992,"Glutenfreie Ernährung (Schär)","Baguette Minibaguette","🍞","g","19,0","","","","",0,"1 KE = 19 g; Portion: 1 mini Baguette ca. 75 g = 3.9 KE",
4003,"Glutenfreie Ernährung (Schär)","Bon matin-Brötchen","🍽️","g","20,0","","","","",0,"1 KE = 20 g; Portion: 1 Brötchen ca. 50 g = 2.5 KE",
4014,"Glutenfreie Ernährung (Schär)","Ciabatta Ciabatta Rustica","🍽️","g","25,0","","","","",0,"1 KE = 25 g; Portion: 1 Brötchen ca. 50 g = 2 KE",
4025,"Glutenfreie Ernährung (Schär)","Foccacia","🍽️","g","24,0","","","","",0,"1 KE = 24 g; Portion: 1 Stück ca. 66 g = 2.7 KE",
4036,"Glutenfreie Ernährung (Schär)","Landbrot","🍽️","g","25,0","","","","",0,"1 KE = 25 g; Portion: 1 Scheibe ca. 48 g = 2 KE",
4047,"Glutenfreie Ernährung (Schär)","Laugenbrötchen","🍽️","g","21,0","","","","",0,"1 KE = 21 g; Portion: 1 Stück à 50 g = 2.4 KE",
4058,"Glutenfreie Ernährung (Schär)","Mehrkornbrötchen","🍽️","g","26,0","","","","",0,"1 KE = 26 g; Portion: 1 Stück à 53 g = 2 KE",
4069,"Glutenfreie Ernährung (Schär)","Pan carre","🍽️","g","25,0","","","","",0,"1 KE = 25 g; Portion: 1 Scheibe ca. 20 g = 0.8 KE",
4080,"Glutenfreie Ernährung (Schär)","Panini","🍽️","g","22,0","","","","",0,"1 KE = 22 g; Portion: 1 Brötchen ca. 50 g = 2.2 KE",
4091,"Glutenfreie Ernährung (Schär)","Piadina Wrapp","🍽️","g","20,0","","","","",0,"1 KE = 20 g; Portion: 1 Stück ca. 80 g = 4 KE",
4102,"Glutenfreie Ernährung (Schär)","Solena Vollkornbrot","🍽️","g","32,0","","","","",0,"1 KE = 32 g",
4113,"Glutenfreie Ernährung (Schär)","Crackers","🍽️","g","13,0","","","","",0,"1 KE = 13 g; Portion: 1 Stück ca. 6 g = 0.5 KE",
4124,"Glutenfreie Ernährung (Schär)","Crackers Pocket","🍽️","g","17,0","","","","",0,"1 KE = 17 g; Portion: 1 Stück ca. 6 g = 0.3 KE",
4135,"Glutenfreie Ernährung (Schär)","Petit crisp sharpar","🍽️","g","13,0","","","","",0,"1 KE = 13 g; Portion: 1 Stück ca. 10 g = 0.8 KE",
